sample_id,condition,replicate,assay,mark,fastq_1,fastq_2,run_accession,experiment_accession,gsa_sample_accession,read1_md5,read2_md5
SIRT1_rep2_H3K56ac,SIRT1,2,CHIP,H3K56ac,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202619/HRR1202619_f1.fq.gz,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202619/HRR1202619_r2.fq.gz,HRR1202619,HRX948891,HRS831609,a565095ae0e10749648da24e8851f36c,ea4dfe3b1d6181322b185374c8354e98
SIRT1_rep2_WGBS,SIRT1,2,WGBS,,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202741/HRR1202741_f1.fq.gz,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202741/HRR1202741_r2.fq.gz,HRR1202741,HRX949013,HRS831731,f851bf7a62a22e55e4fe798960a424fb,f1949646f0fa4f56e3a4f14a2061d1fe
SIRT2_rep1_H3K9ac,SIRT2,1,CHIP,H3K9ac,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202636/HRR1202636_f1.fq.gz,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202636/HRR1202636_r2.fq.gz,HRR1202636,HRX948908,HRS831626,fab9c0635f47a255a53aad54c8550a64,56c6c8bdcbfcd480d3e16925cbca94cf
SIRT2_rep1_H3K56ac,SIRT2,1,CHIP,H3K56ac,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202620/HRR1202620_f1.fq.gz,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202620/HRR1202620_r2.fq.gz,HRR1202620,HRX948892,HRS831610,9efd8887ced83d75fad6134ce6f87556,e127d7bfd6036aff868f6c7ac1fd1ed7
SIRT2_rep1_WGBS,SIRT2,1,WGBS,,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202742/HRR1202742_f1.fq.gz,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202742/HRR1202742_r2.fq.gz,HRR1202742,HRX949014,HRS831732,4acd4ee5c04819c9cafdba2e13f97e93,3c8e437a40220f08ea729a28204ae505
SIRT2_rep2_H3K9ac,SIRT2,2,CHIP,H3K9ac,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202637/HRR1202637_f1.fq.gz,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202637/HRR1202637_r2.fq.gz,HRR1202637,HRX948909,HRS831627,711b7fa07ac8fb129d81e633fe49d87d,b5c7d11ffb1e3c4293abf4405feae934
SIRT2_rep2_H3K56ac,SIRT2,2,CHIP,H3K56ac,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202621/HRR1202621_f1.fq.gz,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202621/HRR1202621_r2.fq.gz,HRR1202621,HRX948893,HRS831611,ded5e51d2f6262dd3deb47bddb02812e,c4dce4c6aa7a1db9b80315b1b5c3c571
SIRT2_rep2_WGBS,SIRT2,2,WGBS,,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202743/HRR1202743_f1.fq.gz,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202743/HRR1202743_r2.fq.gz,HRR1202743,HRX949015,HRS831733,bc3669802e92a739d37333e05f662bab,bfe636eef625b7146169a4730aa350d6
SIRT3_rep1_H3K9ac,SIRT3,1,CHIP,H3K9ac,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202638/HRR1202638_f1.fq.gz,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202638/HRR1202638_r2.fq.gz,HRR1202638,HRX948910,HRS831628,269326fd58c46749052d4630539da3a6,3c04cd9afe51e92704ecb2dc82884934
SIRT3_rep1_H3K56ac,SIRT3,1,CHIP,H3K56ac,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202622/HRR1202622_f1.fq.gz,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202622/HRR1202622_r2.fq.gz,HRR1202622,HRX948894,HRS831612,6ade7599ccc418e0afbdfd7478afb54b,a5dc5cffb47fc493b97cbe5b84d604ec
